Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Nahar Poly Film,4,NAHARPOLY,523391,textilesspinningcottonblended,"[1.68, 1.4, -1.11, 1.47, 0.09, 2.67, -1.38, 0.29, -1.06, -1.12]","[1767.0, -48.0, 20.0, 407.0, 108.0, 338.0]","[75.1, 70.75, 62.91, 87.75, 85.55, 72.1, 74.36, 72.42, 71.47, 56.55]","[-12.0, -2.0, -15.0, 21.0, 20.0, 27.0]","[5.0, 5.0, -4.0, 4.0, 0.0, 9.0, -5.0, 1.0, -4.0, -5.0]","[4.13, 3.44, -2.74, 3.61, 0.22, 6.37, -3.39, 0.7, -2.61, -2.76]","[1.85, 0.12, -2.72, 2.85, 1.52]","[1442.0, 104.0, -195.0, 88.0]",3.06,"[0.49, 0.71, 0.78]"
Nam Securities,4,,538395,financegeneral,"[0.87, None, 0.56, 0.21, 0.6, 0.2, 0.22, 0.32, 0.14, 0.11]",[45.0],"[0.29, 0.19, 0.15, 0.12, 0.16, 0.09, 0.16, 0.13, 0.09, 0.13]","[81.0, 111.0, -6.0, -8.0, 78.0, -31.0]","[24.0, -21.0, 27.0, 17.0, 25.0, 11.0, 13.0, 15.0, 11.0, 8.0]","[0.07, -0.04, 0.04, 0.02, 0.04, 0.01, 0.02, 0.02, 0.01, 0.01]","[0.21, 0.2, 0.15, 0.08, 0.1]","[5.0, 33.0, 87.0, -20.0]",1.43,[]
Narbada Gems,4,,519455,miscellaneous,"[0.47, 0.29, 0.28, 0.17, 0.03, 0.21, 0.73, 0.04, -0.17, 0.32]","[1467.0, 38.0, -62.0, 325.0, 118.0, -34.0]","[4.38, 4.45, 5.22, 3.13, 3.61, 1.93, 9.79, 1.47, 2.96, 3.62]","[21.0, 131.0, -47.0, 113.0, 22.0, -47.0]","[6.0, 4.0, 3.0, 3.0, 1.0, 6.0, 4.0, 1.0, -3.0, 5.0]","[0.26, 0.16, 0.15, 0.09, 0.02, 0.11, 0.39, 0.02, -0.09, 0.17]","[0.77, 0.81, 0.75, 0.91, 0.3]","[-5.0, 8.0, -18.0, 203.0]",-1.0,[]
National Plasti,4,,526616,plastics,"[1.04, 0.16, 0.39, 0.42, 0.43, -0.14, 0.05, 0.03, 0.04, -0.22]","[142.0, 214.0, 680.0, 1300.0, 975.0, 36.0]","[19.51, 25.58, 19.78, 19.29, 18.99, 22.32, 20.01, 16.58, 16.76, 14.09]","[3.0, 15.0, -1.0, 16.0, 13.0, 58.0]","[5.0, 1.0, 2.0, 2.0, 2.0, -1.0, 2.0, 2.0, 2.0, -14.0]","[0.95, 0.14, 0.36, 0.39, 0.39, -0.13, 0.48, 0.27, 0.35, -1.97]","[1.4, 1.07, -0.25, 0.07, 2.24]","[31.0, 528.0, -457.0, -97.0]",5.56,"[1.47, 1.34, 1.28]"
NCL Industries,4,NCLIND,502168,cementmini,"[5.71, 5.53, 1.97, 0.55, -3.34, -3.39, -1.93, -2.83, -3.52, -4.37]","[271.0, 263.0, 202.0, 119.0, 5.0, 22.0]","[157.36, 176.59, 136.43, 125.06, 95.83, 121.07, 113.76, 93.13, 80.77, 110.02]","[64.0, 46.0, 20.0, 34.0, 19.0, 10.0]","[13.0, 11.0, 5.0, 2.0, -20.0, -10.0, -6.0, -11.0, -15.0, -14.0]","[20.34, 19.31, 6.9, 1.93, -19.24, -11.85, -6.75, -9.9, -12.3, -15.26]","[2.55, -11.68, -3.3, 12.67, 6.7]","[122.0, -254.0, -126.0, 89.0]",5.99,"[1.45, 0.9, 1.05]"
Netvista Info,4,NETVISTAIT,530811,computerssoftwaremediumsmall,"[0.01, 0.01, 0.02, None, None, None, None, None, None, 0.01]",[],"[0.93, 1.64, 1.86, 1.27, 0.35, 1.03, 1.07, 0.03, 0.02, 0.02]","[166.0, 59.0, 74.0, 4133.0, 1650.0, 5050.0]","[2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, -550.0]","[0.02, 0.01, 0.03, 0.01, 0.0, 0.01, 0.02, 0.0, 0.0, -0.11]","[0.03, -0.03, -1.15, -9.24, None]","[200.0, 97.0, 88.0]",-1.0,[2.84]
Nihar Info,4,,531083,computerssoftwaremediumsmall,"[0.38, 0.13, 0.33, 0.01, 0.2, 0.13, 0.05, -0.06, -0.09, -0.09]","[90.0, 0.0, 560.0, 117.0, 322.0, 244.0]","[0.3, 1.19, 0.19, 0.04, 0.21, 0.16, 0.17, 0.07, 0.12, 0.0]","[43.0, 644.0, 12.0, -43.0, 75.0]","[63.0, 5.0, 84.0, 25.0, 57.0, 50.0, 18.0, -57.0, -50.0]","[0.19, 0.06, 0.16, 0.01, 0.12, 0.08, 0.03, -0.04, -0.06, -0.06]","[0.7, 0.02, -2.13, -1.09, 0.08]","[3400.0, 101.0, -95.0, -1463.0]",-1.0,"[4.14, 4.2, 1.04]"
Nilkamal,4,NILKAMAL,523385,plastics,"[16.96, 14.53, 5.67, 4.59, 3.66, 9.47, 4.76, 8.41, 4.18, 3.21]","[363.0, 53.0, 19.0, -45.0, -12.0, 195.0]","[455.08, 488.14, 420.61, 457.68, 417.03, 461.05, 376.7, 420.52, 387.69, 438.29]","[9.0, 6.0, 12.0, 9.0, 8.0, 5.0]","[6.0, 4.0, 2.0, 1.0, 1.0, 3.0, 2.0, 3.0, 2.0, 1.0]","[25.3, 21.69, 8.46, 6.84, 5.47, 14.13, 7.11, 12.55, 6.24, 4.79]","[28.45, 26.83, 20.9, 37.26, 36.8]","[6.0, 28.0, -44.0, 1.0]",8.62,"[0.34, 0.58, 0.83]"
Nitin Spinners,4,NITINSPIN,532698,textilesspinningcottonblended,"[2.57, 2.69, 2.29, 2.05, 1.91, 1.87, 1.98, 1.98, 1.76, 0.02]","[35.0, 44.0, 16.0, 4.0, 9.0, 9250.0]","[196.26, 188.1, 160.02, 135.71, 132.64, 121.94, 129.7, 119.67, 117.03, 116.92]","[48.0, 54.0, 23.0, 13.0, 13.0, 4.0]","[6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 0.0]","[11.78, 12.31, 10.5, 9.39, 8.77, 8.59, 9.08, 9.06, 8.06, 0.1]","[8.94, 7.59, 3.08, 0.07, 1.47]","[18.0, 146.0, 4300.0, -95.0]",24.53,"[2.08, 1.1, 1.78]"
Noida Toll,4,NOIDATOLL,532481,constructioncontractingcivil,"[1.22, 1.2, 1.06, 1.09, 0.87, 0.79, 0.59, 0.7, 0.61, 0.67]","[12.0, 38.0, 34.0, 56.0, 43.0, 18.0]","[32.26, 32.22, 30.62, 29.64, 30.46, 31.06, 29.27, 28.58, 28.33, 27.5]","[9.0, 6.0, -1.0, 4.0, 8.0, 13.0]","[70.0, 69.0, 64.0, 69.0, 53.0, 47.0, 38.0, 45.0, 40.0, 46.0]","[22.63, 22.3, 19.68, 20.35, 16.14, 14.66, 10.98, 12.98, 11.27, 12.55]","[4.34, 2.94, 2.26, 2.43, 2.01]","[48.0, 30.0, -7.0, 21.0]",16.08,"[0.04, 0.05, 0.16]"
