Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Mangalam Vent,3,,514492,textileshosieryknitwear,"[0.61, 0.03, 0.24, 1.2, 0.38, -0.5, 0.38, 0.84, 0.59, 0.14]","[61.0, 106.0, -37.0, 43.0, -36.0, -457.0]","[13.55, 6.84, 8.5, 16.62, 11.18, 4.22, 7.91, 12.11, 12.16, 11.7]","[21.0, 62.0, 7.0, 37.0, -8.0, -64.0]","[1.0, 0.0, 1.0, 2.0, 1.0, -4.0, 2.0, 2.0, 1.0, 0.0]","[0.19, 0.01, 0.07, 0.37, 0.12, -0.16, 0.12, 0.26, 0.18, 0.04]","[2.43, 1.85, 1.3, 1.49, None]","[31.0, 42.0, -13.0]",-1.0,"[0.59, 0.47, 0.46]"
Mapro Ind,3,,509762,chemicals,"[0.22, 0.05, 0.03, 0.01, -0.04, 0.05, 0.1, -0.22, -0.09, 0.07]",[],"[2.29, 7.95, 3.68, 2.26, 0.78, 0.87, 0.71, None, 0.0, 0.24]",[],"[8.0, 1.0, 1.0, 0.0, -4.0, 3.0, 10.0]","[0.19, 0.04, 0.03, 0.01, -0.03, 0.03, 0.07, -0.02, -0.01, 0.01]","[0.13, 0.07, -0.02, None, 3.79]","[86.0, 450.0]",0.42,[0.02]
Marico,3,MARICO,531642,personalcare,"[2.92, 2.18, 2.04, 1.99, 2.24, 2.75, 2.2, 1.86, 2.14, 1.72]","[30.0, -21.0, -7.0, 7.0, 5.0, 60.0]","[1467.06, 988.81, 1189.57, 1142.54, 1348.65, 850.27, 928.23, 840.9, 1055.39, 731.33]","[9.0, 16.0, 28.0, 36.0, 28.0, 16.0]","[13.0, 14.0, 11.0, 11.0, 11.0, 21.0, 15.0, 14.0, 13.0, 15.0]","[188.29, 140.72, 131.86, 128.2, 144.39, 177.12, 141.79, 120.22, 138.07, 110.61]","[8.45, 8.95, 6.69, 5.48, 5.15]","[-6.0, 34.0, 22.0, 6.0]",23.27,"[0.08, 0.21, 0.33]"
Maris Spin,3,,531503,textilesspinningcottonblended,"[None, None, None, None, None, 1.9, None, None, None, None]",[],"[27.02, 30.8, 28.31, 31.05, 29.01, 29.44, 30.04, 27.14, 27.75, 25.64]",[],"[5.0, 1.0, -1.0, 4.0, -8.0, 5.0, 6.0, 10.0, 0.0, 2.0]","[1.4, 0.4, -0.33, 1.12, -2.19, 1.53, 1.89, 2.82, 0.0, 0.54]","[4.05, 4.95, 4.51, -10.27, None]","[-18.0, 10.0, 144.0]",19.6,"[2.44, 3.34, 4.46]"
Martin Burn Ltd,3,,523566,constructioncontractingcivil,"[1.05, 0.31, 1.1, -0.33, 0.02, 0.02, 0.8, 1.15, 0.45, 0.37]","[5150.0, 1450.0, 38.0, -129.0, -96.0, -95.0]","[None, 2.77, None, None, None, 0.06, None, 0.35, 0.05, 1.22]",[-1],[],"[0.54, 0.16, 0.57, -0.17, 0.01, 0.01, 0.41, 0.59, 0.23, 0.19]","[1.99, 1.75, 1.19, 2.69, None]","[14.0, 47.0, -56.0]",-1.0,"[0.21, 0.22, 0.27]"
Mastek,3,MASTEK,523704,computerssoftware,"[4.77, 9.31, 5.62, 10.21, 8.02, 0.84, 4.01, 1.36, 4.75, 3.66]","[-41.0, 1008.0, 40.0, 651.0, 69.0, -77.0]","[106.48, 169.17, 171.65, 165.81, 153.95, 149.01, 143.41, 131.86, 120.31, 131.69]","[-31.0, 14.0, 20.0, 26.0, 28.0, 13.0]","[10.0, 12.0, 8.0, 14.0, 12.0, 1.0, 7.0, 3.0, 10.0, 7.0]","[10.8, 20.86, 13.06, 22.72, 17.76, 2.04, 9.88, 3.35, 11.7, 9.11]","[33.35, 10.98, -2.06, -0.5, 13.74]","[204.0, 633.0, -312.0, -104.0]",16.99,[]
Matra Kaushal,3,,526671,domesticappliances,"[-0.05, 0.14, 0.32, -0.06, -0.02, 0.39, -0.06, -0.05, -0.24, 0.4]",[],"[12.62, 34.27, 7.89, 2.12, 3.93, 7.18, 1.67, 0.04, 0.31, 0.48]","[221.0, 377.0, 372.0, 5200.0, 1168.0, 1396.0]","[-1.0, 1.0, 8.0, -6.0, -1.0, 11.0, -7.0, -225.0, -26.0, 29.0]","[-0.09, 0.28, 0.64, -0.13, -0.05, 0.79, -0.12, -0.09, -0.08, 0.14]","[0.36, 0.24, -0.34, -8.06, 0.66]","[50.0, 171.0, 96.0, -1321.0]",-1.0,[]
Media Matrix,3,MMWL,512267,mediaentertainment,"[None, None, None, None, None, None, None, None, None, -0.03]",[],"[0.63, 0.69, 0.74, 0.7, 0.45, 0.66, 0.69, 0.63, 1.07, 2.09]","[40.0, 5.0, 7.0, 11.0, -58.0, -68.0]","[29.0, 26.0, 26.0, 6.0, 2.0, 3.0, 26.0, 37.0, -1.0, -16.0]","[0.18, 0.18, 0.19, 0.04, 0.01, 0.02, 0.18, 0.23, -0.01, -0.34]","[None, None, 0.08, -0.36, None]",[],0.22,[]
Milk Partners,3,,519335,foodprocessing,"[0.03, 0.01, 0.01, 0.1, 0.03, -0.04, -0.05, -0.05, -0.04, -0.06]","[0.0, 125.0, 120.0, 300.0, 175.0, 33.0]","[64.83, 38.84, 12.35, 15.26, 14.29, 3.15, 3.06, 3.14, 3.08, 3.06]","[354.0, 1133.0, 304.0, 386.0, 364.0, 3.0]","[0.0, 0.0, 0.0, 1.0, 0.0, -2.0, -2.0, -2.0, -2.0, -2.0]","[0.03, 0.01, 0.0, 0.08, 0.04, -0.05, -0.06, -0.06, -0.05, -0.07]","[0.01, -0.21, 0.03, -0.11, -0.15]","[105.0, -800.0, 127.0, 27.0]",0.96,[4.64]
MM Forgings,3,MMFL,522241,castingsforgings,"[10.71, 9.21, 10.81, 10.89, 10.97, 6.48, 5.84, 5.52, 6.45, 5.66]","[-2.0, 42.0, 85.0, 97.0, 70.0, 14.0]","[121.59, 123.3, 122.82, 122.07, 121.31, 107.07, 100.23, 97.68, 95.76, 93.73]","[0.0, 15.0, 23.0, 25.0, 27.0, 14.0]","[11.0, 9.0, 11.0, 11.0, 11.0, 7.0, 7.0, 7.0, 8.0, 7.0]","[12.92, 11.12, 13.05, 13.14, 13.24, 7.82, 7.05, 6.66, 7.79, 6.83]","[41.88, 24.29, 20.26, 22.17, 24.63]","[72.0, 20.0, -9.0, -10.0]",21.25,"[0.73, 0.7, 0.68]"
Mold Tek Tech,3,MOLDPLAST,526263,packaging,"[2.55, 1.76, 3.19, 3.08, 2.94, 0.23, 1.49, 0.93, 1.54, -1.96]","[-13.0, 665.0, 114.0, 231.0, 91.0, 112.0]","[11.01, 9.1, 11.27, 10.54, 9.87, 9.02, 9.65, 8.51, 7.44, 7.02]","[12.0, 1.0, 17.0, 24.0, 33.0, 28.0]","[11.0, 9.0, 13.0, 14.0, 14.0, 1.0, 7.0, 5.0, 10.0, -13.0]","[1.2, 0.83, 1.5, 1.45, 1.38, 0.11, 0.7, 0.44, 0.72, -0.92]","[10.87, 4.2, 2.48, 1.93, None]","[159.0, 69.0, 28.0]",21.72,"[0.28, 0.3, 0.48]"
Monnet Project,3,,532723,sugar,"[0.69, 2.53, -0.42, 0.02, 0.03, -0.03, 0.02, 0.03, 0.03, -0.04]","[2200.0, 8533.0, -2200.0, -33.0, 0.0, 25.0]","[None, None, None, None, None, None, None, None, None, None]",[-1],[],"[0.51, 1.87, -0.32, 0.01, 0.02, -0.02, 0.02, 0.03, 0.02, -0.03]","[2.15, 0.06, 0.06, 0.36, 0.07]","[3483.0, 0.0, -83.0, 414.0]",2.85,[]
Morepen Lab,3,MOREPENLAB,500288,pharmaceuticals,"[0.05, -0.09, 0.06, None, 0.02, -0.08, -0.05, -0.03, -0.05, -0.09]","[150.0, -12.0, 220.0]","[99.28, 82.59, 98.16, 87.4, 86.44, 85.03, 85.67, 72.88, 78.48, 78.79]","[15.0, -3.0, 15.0, 20.0, 10.0, 8.0]","[3.0, -5.0, 3.0, 0.0, 1.0, -4.0, -2.0, -2.0, 1.0, -5.0]","[2.5, -3.72, 2.96, 0.31, 1.03, -3.43, -2.02, -1.28, 0.57, -3.98]","[None, -0.21, -0.56, -0.82, -0.96]",[],0.3,"[0.95, 0.96, 1.02]"
Mount Everest,3,,531096,foodprocessing,"[0.11, 0.1, 0.47, 0.28, 0.06, 0.24, 0.12, 0.01, 0.02, 0.1]","[83.0, -58.0, 292.0, 2700.0, 200.0, 140.0]","[6.29, 6.64, 6.43, 6.71, 5.9, 5.96, 6.73, 6.11, 5.31, 5.48]","[7.0, 11.0, -4.0, 10.0, 11.0, 9.0]","[6.0, 5.0, 25.0, 14.0, 4.0, 14.0, 6.0, 1.0, 2.0, 6.0]","[0.36, 0.33, 1.61, 0.96, 0.22, 0.82, 0.4, 0.04, 0.08, 0.34]","[0.7, 0.16, -0.48, -3.48, None]","[337.0, 133.0, 86.0]",5.15,[]
Mount Shivalik,3,,507522,breweriesdistilleries,"[8.41, -4.11, -5.54, -5.69, -5.72, -4.02, -5.09, -3.95, -0.84, -4.15]","[247.0, -2.0, -9.0, -44.0, -581.0, 3.0]","[1.56, 1.81, 4.19, 4.69, 11.73, 14.41, 9.31, 8.42, 27.55, 15.68]","[-87.0, -87.0, -55.0, -44.0, -57.0, -8.0]","[326.0, -138.0, -80.0, -73.0, -29.0, -17.0, -33.0, -28.0, -2.0, -16.0]","[5.09, -2.49, -3.35, -3.44, -3.46, -2.43, -3.08, -2.39, -0.51, -2.51]","[-6.93, -18.9, -11.74, -9.77, None]",[],-1.0,[]
MPS,3,MPSLTD,532440,printingstationery,"[7.53, 6.83, 9.83, 8.45, 9.67, 6.92, 9.67, 6.02, 3.21, 4.38]","[-22.0, -1.0, 2.0, 40.0, 201.0, 58.0]","[51.72, 48.16, 56.66, 53.13, 45.22, 46.74, 54.04, 47.72, 39.79, 40.19]","[14.0, 3.0, 5.0, 11.0, 14.0, 16.0]","[27.0, 24.0, 29.0, 27.0, 36.0, 25.0, 30.0, 21.0, 14.0, 18.0]","[14.02, 11.67, 16.54, 14.22, 16.27, 11.65, 16.27, 10.12, 5.4, 7.36]","[34.76, 25.82, 18.96, -5.24, None]","[35.0, 36.0, 462.0]",23.14,[]
MRF,3,MRF,500290,tyres,"[1053.53, 784.28, 762.78, 747.24, 542.82, 402.87, 424.17, 434.08, 535.89, 496.58]","[94.0, 95.0, 80.0, 72.0, 1.0, -19.0]","[3535.99, 3310.61, 3351.68, 3359.91, 3335.3, 3297.4, 3197.12, 3145.7, 3048.85, 2904.77]","[6.0, 0.0, 5.0, 7.0, 9.0, 14.0]","[13.0, 10.0, 10.0, 9.0, 7.0, 5.0, 6.0, 6.0, 7.0, 7.0]","[446.81, 332.62, 323.51, 316.91, 230.22, 170.87, 179.89, 184.1, 227.28, 210.61]","[2117.09, 1891.49, 1349.52, 1460.5, None]","[12.0, 40.0, -8.0]",-1.0,"[0.4, 0.39, 0.57]"
MSR India,3,,508922,financeinvestments,"[0.03, 1.56, 0.04, 0.01, 0.02, None, None, None, None, None]",[50.0],"[31.6, 28.04, 24.8, 19.4, 10.13, 7.65, 0.68, 0.86, 0.99, 0.03]","[212.0, 267.0, 3547.0, 2156.0, 923.0, 25400.0]","[1.0, 35.0, 5.0, 0.0, 1.0, -2.0, -1.0, -10.0, 0.0, -37633.0]","[0.21, 9.82, 1.24, 0.02, 0.14, -0.13, -0.01, -0.09, 0.0, -11.29]","[-0.01, -9.14, 0.01, 1.28, None]",[],-1.0,"[0.02, 0.01]"
MTZ Polyesters,3,,512424,packaging,"[None, None, None, None, None, None, None, None, None, None]",[],"[55.53, 51.2, 24.8, 25.53, 27.4, 18.31, 30.28, 20.52, 26.11, 24.44]","[103.0, 180.0, -18.0, 24.0, 5.0, -25.0]","[12.0, 10.0, -9.0, -33.0, -11.0, -28.0, -10.0, -26.0, -19.0, -20.0]","[6.39, 4.96, -2.28, -8.35, -3.09, -5.2, -2.95, -5.32, -4.91, -4.87]","[None, None, None, None, None]",[],-1.0,[]
Mudit Finlease,3,,531919,financeinvestments,"[0.4, 0.09, 0.23, 0.2, 0.84, 0.18, -0.36, 0.23, -0.29, -0.04]",[],"[6.37, 6.34, 5.15, 5.49, 5.21, 4.66, 7.41, 5.97, 10.11, 16.65]",[],"[3.0, 1.0, 2.0, 2.0, 8.0, 2.0, -2.0, 2.0, -1.0, -0.0]","[0.2, 0.05, 0.12, 0.1, 0.43, 0.09, -0.18, 0.12, -0.15, -0.02]","[0.89, -0.16, -0.73, 0.03, None]","[656.0, 78.0, -2533.0]",7.64,"[0.65, 1.17, 1.26]"
Munjal Showa,3,MUNJALSHOW,520043,autoancillaries,"[4.43, 5.38, 4.31, 4.46, 4.76, 4.71, 5.41, 2.4, 4.91, 5.59]","[-7.0, 14.0, -20.0, 86.0, -3.0, -16.0]","[391.01, 398.98, 389.06, 418.67, 436.25, 416.9, 415.91, 366.44, 398.73, 397.11]","[-10.0, -4.0, -6.0, 14.0, 9.0, 5.0]","[5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 3.0, 5.0, 6.0]","[17.73, 21.52, 17.23, 17.84, 19.03, 18.85, 21.62, 9.58, 19.65, 22.37]","[18.91, 17.43, 15.17, 16.78, 8.51]","[8.0, 15.0, -10.0, 97.0]",18.41,[]
Mysore Petro,3,MYSORPETRO,506734,chemicals,"[1.54, 1.58, 1.15, 5.12, 3.11, 1.82, 2.29, 2.27, -1.26, -2.97]","[-50.0, -13.0, -50.0, 126.0, 347.0, 161.0]","[6.29, 6.94, 6.23, 10.42, 9.28, 10.04, 9.18, 7.42, 13.28, 33.86]","[-32.0, -31.0, -32.0, 40.0, -30.0, -70.0]","[16.0, 15.0, 12.0, 32.0, 22.0, 12.0, 16.0, 20.0, -6.0, -6.0]","[1.02, 1.04, 0.76, 3.37, 2.05, 1.2, 1.51, 1.49, -0.83, -1.95]","[10.96, 5.12, 3.1, -6.47, -5.78]","[114.0, 65.0, 148.0, -12.0]",24.67,"[0.22, 0.6, 0.97]"
Nath Bio-Genes,3,NATHBIOGEN,537291,pharmaceuticals,"[15.02, -4.02, 0.35, 0.83, 18.88, -2.56, 2.13, 1.31, 14.31, 0.71]","[-20.0, -57.0, -84.0, -37.0, 32.0, -461.0]","[106.55, 9.46, 26.33, 30.06, 119.47, 40.37, 26.24, 19.5, 103.32, 23.24]","[-11.0, -77.0, 0.0, 54.0, 16.0, 74.0]","[23.0, -69.0, 2.0, 3.0, 25.0, -10.0, 13.0, 11.0, 22.0, 5.0]","[24.04, -6.5, 0.57, 1.01, 30.21, -4.1, 3.4, 2.1, 22.91, 1.13]","[15.85, 15.19, 7.34, 7.34]","[4.0, 107.0, 0.0]",23.67,"[0.2, 0.26, 0.31]"
Naval Techno,3,,532014,plastics,"[None, None, None, None, None, None, None, None, None, None]",[],"[4.88, 4.91, 4.2, 3.9, 3.5, 3.75, 3.67, 6.02, 6.58, 6.39]","[39.0, 31.0, 14.0]","[2.0, 3.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[0.1, 0.17, 0.06, 0.05, 0.01, 0.04, 0.08, 0.12, 0.16, 0.14]","[0.32, None, None, None, None]",[],-1.0,"[0.99, 1.06, 1.27]"
Navkar Builders,3,,531494,constructioncontractinghousing,"[0.57, None, 0.04, 0.08, 0.05, 0.11, 0.06, 0.03, 0.03, 0.04]",[1040.0],"[21.96, 24.07, 25.16, 18.26, 15.3, 34.7, 9.84, 6.52, 7.36, 10.34]","[44.0, -31.0, 156.0, 180.0, 108.0, 236.0]","[5.0, 6.0, 3.0, 8.0, 6.0, 5.0, 8.0, 7.0, 6.0, 5.0]","[1.0, 1.42, 0.68, 1.38, 0.86, 1.9, 0.74, 0.45, 0.43, 0.49]","[2.43, 0.2, 0.28, 2.27, None]","[1115.0, -29.0, -88.0]",13.46,"[0.62, 0.84, 1.21]"
Neo Infracon,3,,514332,textilesterrytowels,"[0.07, None, -0.04, 0.03, 0.03, -0.2, 0.05, 0.11, 0.19, 0.17]",[133.0],"[0.88, 1.21, 0.29, 0.42, 0.24, 0.43, 0.77, 0.73, 2.95, 4.34]","[267.0, 181.0, -62.0, -42.0, -92.0, -90.0]","[5.0, 0.0, -7.0, 2.0, 8.0, -23.0, 3.0, 8.0, 3.0, 2.0]","[0.04, 0.0, -0.02, 0.01, 0.02, -0.1, 0.02, 0.06, 0.1, 0.09]","[0.02, 0.15, 0.17, 0.01, 0.17]","[-87.0, -12.0, 1600.0, -94.0]",0.17,"[0.07, 0.94, 0.56]"
NESCO,3,NESCO,505355,diversified,"[15.94, 20.79, 21.84, 18.85, 17.74, 17.41, 15.26, 13.5, 11.33, 17.01]","[-10.0, 19.0, 43.0, 40.0, 57.0, 2.0]","[48.65, 51.41, 59.03, 46.64, 37.36, 51.63, 46.08, 39.06, 24.34, 41.11]","[30.0, -0.0, 28.0, 19.0, 53.0, 26.0]","[46.0, 57.0, 52.0, 57.0, 67.0, 48.0, 47.0, 49.0, 66.0, 58.0]","[22.46, 29.3, 30.77, 26.56, 25.0, 24.53, 21.5, 19.03, 15.96, 23.97]","[79.22, 57.5, 57.97, 47.78, 48.7]","[38.0, -1.0, 21.0, -2.0]",20.93,[]
Neuland Lab,3,NEULANDLAB,524558,pharmaceuticals,"[8.22, 6.4, 6.72, 3.95, 11.22, 8.92, 4.5, 10.22, 5.49, 4.28]","[108.0, -43.0, 49.0, -61.0, 104.0, 108.0]","[115.15, 123.59, 119.68, 102.67, 109.26, 130.83, 104.29, 121.32, 109.62, 106.54]","[12.0, 13.0, 15.0, -15.0, -0.0, 23.0]","[6.0, 5.0, 4.0, 3.0, 8.0, 5.0, 3.0, 6.0, 4.0, 3.0]","[7.3, 5.69, 5.15, 3.02, 8.59, 6.82, 3.44, 7.81, 4.2, 3.27]","[18.47, 34.87, 17.84, 3.77, 9.39]","[-47.0, 95.0, 373.0, -60.0]",-1.0,"[1.13, 1.43, 1.89]"
New Sagar Trad,3,,501479,miscellaneous,"[1.04, 0.14, 0.56, 0.34, 0.98, None, 0.68, 0.32, 1.02, 0.4]",[6.0],"[0.1, 0.09, 0.04, 0.04, 0.04, 0.03, 0.02, 0.02, 0.02, 0.04]","[150.0, 200.0, 100.0, 100.0, 100.0, -25.0]","[10.0, 0.0, 0.0, 0.0, 0.0, -33.0, 0.0, 0.0, 50.0, 0.0]","[0.01, 0.0, 0.0, 0.0, 0.0, -0.01, 0.0, 0.0, 0.01, 0.0]","[2.03, 0.41, 0.68, 0.84, 0.46]","[395.0, -40.0, -19.0, 83.0]",3.13,[]
Nexus Comm,3,,538874,computerssoftware,"[0.05, 0.05, 0.09, 0.07, 0.05, 0.09, None, None, None, None]","[0.0, -44.0]","[0.08, 0.13, 0.13, 0.11, 0.06, 0.07, 0.01, 0.01, 0.01, 0.01]","[33.0, 86.0, 1200.0, 1000.0, 500.0, 600.0]","[38.0, 23.0, 38.0, 36.0, 50.0, 71.0, 0.0, 0.0, 0.0, 0.0]","[0.03, 0.03, 0.05, 0.04, 0.03, 0.05, 0.0, 0.0, 0.0, 0.0]","[0.27, 0.09, None, None, None]",[200.0],2.68,[]
Nikhil Adhesive,3,,526159,chemicals,"[1.26, 2.9, -3.41, 0.68, 0.81, 2.18, 1.67, -3.99, 0.8, -2.03]","[56.0, 33.0, -304.0, 117.0, 1.0, 207.0]","[61.95, 63.25, 65.67, 60.09, 64.47, 64.46, 62.5, 57.78, 48.18, 45.86]","[-4.0, -2.0, 5.0, 4.0, 34.0, 41.0]","[1.0, 2.0, -2.0, 0.0, 0.0, 1.0, 1.0, -3.0, 1.0, -2.0]","[0.49, 1.13, -1.33, 0.26, 0.31, 0.85, 0.66, -1.56, 0.31, -0.79]","[0.98, 0.68, 1.46, 1.98, 6.32]","[44.0, -53.0, -26.0, -69.0]",2.65,"[2.83, 2.12, 1.89]"
NMDC,3,NMDC,526371,miningminerals,"[2.55, 3.4, 4.02, 3.95, 4.83, 4.95, 3.95, 3.33, 3.97, 3.69]","[-47.0, -31.0, 2.0, 19.0, 22.0, 34.0]","[1805.28, 2826.55, 2944.39, 3102.24, 3474.5, 3883.52, 2821.53, 2478.14, 2869.1, 3202.1]","[-48.0, -27.0, 4.0, 25.0, 21.0, 21.0]","[56.0, 48.0, 54.0, 51.0, 55.0, 51.0, 56.0, 53.0, 55.0, 46.0]","[1010.12, 1347.09, 1593.01, 1566.75, 1915.01, 1962.14, 1567.3, 1318.36, 1572.19, 1464.95]","[16.2, 16.19, 16.0, 18.33, 16.39]","[0.0, 1.0, -13.0, 12.0]",19.86,[]
Northern Proj,3,,508924,trading,"[0.24, 0.12, 0.29, -0.14, -0.41, -2.03, 2.06, 1.06, 0.27, -0.57]","[159.0, 106.0, -86.0, -113.0, -252.0, -256.0]","[None, None, None, None, None, None, None, None, None, None]",[-1],[],"[0.05, 0.03, 0.06, -0.03, -0.09, -0.45, 0.15, 0.23, 0.06, -0.13]","[-0.08, None, 0.4, 1.84, 7.77]",[],-0.09,[]
Nouveau Global,3,,531465,financegeneral,"[0.02, -0.04, 0.02, 0.12, -0.05, -0.06, 0.01, 0.08, 0.06, 0.09]","[140.0, 33.0, 100.0, 50.0, -183.0, -167.0]","[1.3, 4.05, 0.74, 1.0, 0.24, 5.13, 1.63, 0.53, 2.22, 10.85]","[442.0, -21.0, -55.0, 89.0, -89.0, -53.0]","[2.0, -2.0, 5.0, 22.0, -38.0, -2.0, 1.0, 26.0, 5.0, 2.0]","[0.03, -0.07, 0.04, 0.22, -0.09, -0.1, 0.02, 0.14, 0.11, 0.17]","[0.05, 0.09, 0.12, 0.03, 0.04]","[-44.0, -25.0, 300.0, -25.0]",0.35,"[0.42, 0.35, 0.01]"
NR Intl,3,,532623,miscellaneous,"[0.31, 1.01, -0.29, 0.16, 0.27, 0.12, 0.12, 0.12, 0.2, None]","[15.0, 742.0, -342.0, 33.0, 35.0]","[3.25, 9.57, 8.11, 4.5, 4.55, 13.51, 6.19, 7.14, 10.64, 8.14]","[-29.0, -29.0, 31.0, -37.0, -57.0, 66.0]","[10.0, 11.0, -4.0, 4.0, 6.0, 1.0, 2.0, 2.0, 2.0, -3.0]","[0.33, 1.08, -0.31, 0.17, 0.28, 0.13, 0.12, 0.13, 0.22, -0.22]","[0.84, 0.56, -0.92, -0.33, -2.42]","[50.0, 161.0, -179.0, 86.0]",5.12,"[1.12, 1.13, 1.17]"
OCL India,3,OCL,502165,cementmajor,"[8.58, 6.33, 5.05, 2.24, 6.35, 7.32, 1.69, 0.74, 7.45, 5.58]","[35.0, -14.0, 199.0, 203.0, -15.0, 31.0]","[675.9, 660.67, 540.7, 469.26, 542.74, 536.4, 414.64, 425.23, 472.27, 484.47]","[25.0, 23.0, 30.0, 10.0, 15.0, 11.0]","[7.0, 5.0, 5.0, 3.0, 7.0, 8.0, 2.0, 1.0, 9.0, 7.0]","[48.82, 36.02, 28.77, 12.74, 36.15, 41.64, 9.62, 4.22, 42.39, 31.76]","[19.98, 17.2, 27.48, 5.59, 20.12]","[16.0, -37.0, 392.0, -72.0]",9.5,"[1.02, 0.56, 0.65]"
Olympia Ind,3,,521105,textilesprocessing,"[-8.03, -2.89, 10.38, 5.5, 2.13, 1.57, -0.43, -0.04, -0.03, -0.15]",[],"[40.93, 36.84, 49.96, 22.4, 12.78, 4.45, 1.78, 0.06, 0.02, 0.01]","[220.0, 728.0, 2707.0, 37233.0, 63800.0, 44400.0]","[-6.0, -2.0, 6.0, 7.0, 5.0, 11.0, -4.0, -33.0, -100.0, -800.0]","[-2.43, -0.87, 3.14, 1.66, 0.64, 0.47, -0.08, -0.02, -0.02, -0.08]","[15.12, 1.74, -0.52, 0.21, 0.01]","[769.0, 435.0, -348.0, 2000.0]",54.67,"[0.66, 0.36, 0.61]"
Omax Autos,3,OMAXAUTO,520021,autoancillaries,"[0.32, 3.16, -2.17, 2.9, 0.07, 0.36, -1.76, -1.95, 0.39, 0.31]","[357.0, 778.0, -23.0, 249.0, -82.0, 16.0]","[251.63, 253.5, 250.11, 248.46, 252.19, 259.25, 239.42, 238.66, 238.09, 245.56]","[-0.0, -2.0, 4.0, 4.0, 6.0, 6.0]","[0.0, 3.0, -2.0, 2.0, 0.0, 0.0, -2.0, -2.0, 0.0, 1.0]","[0.69, 6.66, -4.65, 6.11, 0.14, 0.76, -3.76, -4.2, 0.92, 1.6]","[3.96, -2.93, 6.83, 13.18, 9.95]","[235.0, -143.0, -48.0, 32.0]",-1.0,"[0.47, 0.55, 0.68]"
Omega Ag-Seeds,3,,519479,miscellaneous,"[0.02, -0.04, 0.04, 0.05, 0.01, -0.07, 0.03, 0.02, 0.03, -0.01]","[100.0, 43.0, 33.0, 150.0, -67.0, -600.0]","[0.11, 2.61, 1.27, 0.24, 0.13, 0.12, 0.11, 0.1, 0.36, 0.0]","[-15.0, 2075.0, 1055.0, 140.0, -64.0]","[9.0, -1.0, 2.0, 17.0, 8.0, -42.0, 27.0, 10.0, 6.0]","[0.01, -0.03, 0.03, 0.04, 0.01, -0.05, 0.03, 0.01, 0.02, -0.01]","[None, 0.03, 0.12, 0.16, 0.06]",[],0.5,[]
Omnitex Ind,3,,514324,textilesprocessing,"[0.06, 0.12, -0.02, -0.01, 0.01, 0.19, 0.07, 0.06, 0.08, 0.06]","[500.0, -37.0, -129.0, -117.0, -88.0, 217.0]","[0.1, 0.22, None, None, None, None, None, None, 0.11, 0.16]",[],"[20.0, 23.0]","[0.02, 0.05, -0.01, 0.0, 0.0, 0.08, 0.03, 0.03, 0.03, 0.03]","[0.4, 0.26, 0.19, 0.04, None]","[54.0, 37.0, 375.0]",2.78,[]
OnMobile Global,3,ONMOBILE,532944,computerssoftwaremediumsmall,"[0.7, -0.01, 0.7, 1.1, -0.8, -5.3, -0.5, 1.3, 1.2, 1.2]","[188.0, 100.0, 240.0, -15.0, -167.0, -542.0]","[84.93, 86.84, 84.22, 95.22, 79.76, 95.09, 90.01, 110.9, 110.23, 113.25]","[6.0, -9.0, -6.0, -14.0, -28.0, -16.0]","[9.0, -1.0, 9.0, 13.0, -12.0, -63.0, -6.0, 14.0, 12.0, 12.0]","[7.23, -1.3, 7.7, 12.37, -9.57, -60.08, -5.76, 15.34, 13.18, 14.14]","[0.8, -3.3, 2.3, 4.3, 15.6]","[124.0, -243.0, -47.0, -72.0]",1.27,[]
Orient Abrasive,3,ORIENTABRA,504879,abrasives,"[0.41, 0.05, 0.33, 0.38, 0.27, 0.07, 0.01, 0.23, 0.28, 0.38]","[52.0, -29.0, 3200.0, 65.0, -4.0, -82.0]","[54.25, 42.32, 44.91, 52.09, 43.04, 37.32, 42.0, 42.39, 52.07, 49.3]","[26.0, 13.0, 7.0, 23.0, -17.0, -24.0]","[9.0, 1.0, 9.0, 9.0, 7.0, 2.0, 0.0, 7.0, 6.0, 9.0]","[4.91, 0.59, 3.98, 4.53, 3.22, 0.87, 0.08, 2.8, 3.3, 4.52]","[1.03, 0.59, 1.33, 0.76, 3.91]","[75.0, -56.0, 75.0, -81.0]",8.37,"[0.16, 0.14, 0.14]"
