Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
LKP Finance,2,LKPMERFIN,507912,financeleasinghirepurchase,"['5.83', '-3.41', '8.74', '3.45', '2.82', '1.43', '0.54', '1.34', '-2.35', '3.13']",[],"['19.51', '4.61', '50.32', '21.04', '8.76', '9.15', '9.63', '7.68', '6.34', '11.49']","[323.21041214750545, -90.83863275039745, 139.16349809885932, 140.18264840182647, -4.262295081967219, -4.984423676012465, 25.390625000000018, 21.13564668769716, -44.82158398607485]","[0.36442849820604817, -0.9002169197396963, 0.21204292527821939, 0.20009505703422054, 0.3926940639269406, 0.1901639344262295, 0.06853582554517133, 0.21223958333333331, -0.45899053627760256, 0.3429068755439513]","['7.11', '-4.15', '10.67', '4.21', '3.44', '1.74', '0.66', '1.63', '-2.91', '3.94']","['14.54', '6.12', '5.47', '3.72', '19.97']","[137.5816993464052, 11.882998171846443, 47.04301075268816, -81.37205808713071]"
Lloyds Metals,2,LLOYDMETAL,512455,steelspongeiron,"['0.25', '-0.23', '-0.60', '-0.27', '-0.77', '-1.17', '-0.53', '-0.97', '-1.14', '0.72']","[132.46753246753246, 80.34188034188034, -13.20754716981131, 72.16494845360825, 32.45614035087719, -262.5]","['130.56', '123.15', '117.99', '215.91', '174.13', '183.53', '128.29', '108.15', '137.61', '242.83']","[6.01705237515225, 4.373251970505984, -45.35223009587328, 23.993568023890198, -5.121778455838285, 43.05869514381481, 18.6222838650023, -21.408327883148033, -43.33072519869868]","[0.02098651960784314, -0.020787657328461225, -0.056275955589456736, -0.01407994071603909, -0.04921610291161776, -0.07094208031384515, -0.04606750331280693, -0.09986130374479889, -0.09236247365743769, 0.032903677469834865]","['2.74', '-2.56', '-6.64', '-3.04', '-8.57', '-13.02', '-5.91', '-10.80', '-12.71', '7.99']","['-1.87', '-3.81', '0.17', '0.34', '1.67']",[]
Lohia Sec,2,,590082,financeinvestments,"['3.93', '-0.67', '1.38', '-2.55', '5.64', '2.74', '-0.05', '2.10', '-4.43', '1.85']","[-30.319148936170205, -124.45255474452554, 2860.0, -221.42857142857144, 227.31376975169303, 48.10810810810811]","['10.61', '9.01', '9.90', '8.29', '11.46', '7.19', '7.85', '6.46', '4.25', '10.26']","[17.75804661487236, -8.989898989898995, 19.420989143546457, -27.66143106457244, 59.388038942976365, -8.407643312101902, 21.517027863777084, 52.0, -58.57699805068226]","[0.18473138548539114, -0.03662597114317425, 0.06969696969696969, -0.1531966224366707, 0.24520069808027922, 0.1905424200278164, -0.002547770700636943, 0.1625386996904025, -0.52, 0.08966861598440547]","['1.96', '-0.33', '0.69', '-1.27', '2.81', '1.37', '-0.02', '1.05', '-2.21', '0.92']","['3.81', '0.36', '-1.43', '-2.67', '-2.34']","[958.3333333333334, 125.17482517482519, 46.441947565543074, -14.102564102564106]"
Lords Chemicals,2,,530039,chemicals,"['3.83', '3.83', '1.00', '2.10', '0.55', '0.78', '0.84', '0.56', '0.57', '0.65']","[596.3636363636364, 391.025641025641, 19.04761904761905, 275.0, -3.508771929824545, 20.0]","['33.21', '32.32', '30.07', '51.53', '16.18', '15.50', '16.46', '14.59', '6.96', '11.63']","[2.7537128712871306, 7.482540738277353, -41.64564331457404, 218.4796044499382, 4.387096774193547, -5.832320777642775, 12.816997943797128, 109.62643678160919, -40.154772141014625]","[0.1532670882264378, 0.14882425742574257, 0.041569670768207514, 0.016495245488065205, 0.019159456118665017, 0.02129032258064516, 0.06439854191980558, 0.015764222069910898, 0.031609195402298854, 0.02235597592433362]","['5.09', '4.81', '1.25', '0.85', '0.31', '0.33', '1.06', '0.23', '0.22', '0.26']","['2.06', '2.17', '--', '--', '--']",[-5.069124423963128]
Lords Chloro,2,MODIALKALI,500284,chemicals,"['0.51', '1.33', '-0.55', '-0.60', '-0.46', '-0.61', '-0.57', '-0.18', '-0.32', '0.87']","[210.8695652173913, 318.0327868852459, 3.508771929824545, -233.33333333333334, -43.75000000000001, -170.1149425287356]","['23.88', '9.05', '--', '--', '--', '--', '--', '--', '--', '--']",[163.86740331491708],"[0.05360134003350084, 0.36906077348066296]","['1.28', '3.34', '-1.37', '-1.50', '-1.15', '-1.53', '-1.42', '-0.46', '-0.81', '2.19']","['-0.27', '-1.68', '-1.28', '-3.27', '0.55']",[]
Lovable Lingeri,2,LOVABLE,533343,textilesreadymadeapparels,"['7.27', '0.79', '2.27', '2.54', '6.14', '0.31', '1.90', '2.63', '7.76', '1.80']","[18.403908794788272, 154.83870967741936, 19.473684210526322, -3.422053231939158, -20.876288659793815, -82.77777777777777]","['65.51', '25.53', '41.47', '46.05', '59.32', '21.96', '39.18', '42.14', '55.69', '20.40']","[156.60007833920878, -38.4374246443212, -9.945711183496195, -22.370195549561707, 170.12750455373404, -43.95099540581929, -7.024205030849551, -24.33111869276351, 172.99019607843138]","[0.18653640665547244, 0.05209557383470427, 0.09187364359778154, 0.09272529858849077, 0.17380310182063385, 0.02413479052823315, 0.08141909137314957, 0.10465116279069768, 0.23397378344406536, 0.14852941176470588]","['12.22', '1.33', '3.81', '4.27', '10.31', '0.53', '3.19', '4.41', '13.03', '3.03']","['11.74', '12.59', '11.24', '12.89', '12.26']","[-6.751389992057185, 12.010676156583626, -12.800620636152058, 5.138662316476352]"
Lumax Inds,2,LUMAXIND,517206,autoancillaries,"['12.16', '2.60', '4.03', '5.78', '5.32', '5.26', '1.89', '0.42', '0.67', '5.46']","[128.57142857142856, -50.57034220532319, 113.22751322751326, 1276.1904761904764, 694.0298507462686, -3.663003663003666]","['315.14', '306.15', '269.29', '284.74', '272.56', '296.68', '285.38', '258.75', '269.45', '285.72']","[2.9364690511187357, 13.687845816777436, -5.426002669101632, 4.468740827707663, -8.129971686665769, 3.9596327703413037, 10.291787439613524, -3.971052143254774, -5.694386112277767]","[0.036047470965285267, 0.007937285644292014, 0.013962642504363324, 0.01896466952307368, 0.018234517170531258, 0.01654981798570851, 0.006202256640269115, 0.0015072463768115944, 0.002338096121729449, 0.017884642307153857]","['11.36', '2.43', '3.76', '5.40', '4.97', '4.91', '1.77', '0.39', '0.63', '5.11']","['17.73', '8.24', '14.53', '13.71', '19.23']","[115.16990291262137, -43.289745354439084, 5.98103574033551, -28.705148205928232]"
Machino Plastic,2,,523248,autoancillaries,"['1.99', '7.22', '-2.37', '-0.92', '-0.15', '10.32', '-6.78', '-7.50', '0.02', '-0.54']","[1426.6666666666667, -30.038759689922482, 65.04424778761062, 87.73333333333333, -849.9999999999998, 2011.1111111111106]","['47.34', '57.42', '46.36', '48.25', '44.26', '48.58', '39.18', '38.60', '39.86', '46.65']","[-17.554858934169275, 23.85677308024159, -3.917098445595856, 9.014911884319933, -8.892548373816386, 23.991832567636546, 1.502590673575125, -3.161063723030602, -14.55519828510182]","[0.025771018166455426, 0.07715081853012887, -0.031492666091458156, -0.011813471502590673, -0.002033438770899232, 0.13030053519967066, -0.10617662072485963, -0.11917098445595854, 0.0002508780732563974, -0.00707395498392283]","['1.22', '4.43', '-1.46', '-0.57', '-0.09', '6.33', '-4.16', '-4.60', '0.01', '-0.33']","['3.77', '-3.93', '-2.16', '-1.63', '13.42']","[195.92875318066157, -81.94444444444444, -32.5153374233129, -112.14605067064085]"
Maestros,2,,501209,financeinvestments,"['-2.83', '-2.04', '0.74', '-3.61', '-1.30', '3.19', '-3.72', '-17.76', '-5.85', '-3.53']",[],"['4.38', '1.07', '1.09', '0.88', '0.26', '1.97', '3.44', '2.81', '1.77', '1.83']","[309.3457943925233, -1.8348623853211024, 23.863636363636374, 238.46153846153845, -86.80203045685279, -42.73255813953488, 22.41992882562277, 58.75706214689266, -3.2786885245901667]","[-0.2831050228310502, -0.8317757009345794, 0.2935779816513761, -1.7954545454545456, -2.192307692307692, 0.7106598984771573, -0.47383720930232553, -2.765124555160142, -1.4463276836158192, -0.8469945355191256]","['-1.24', '-0.89', '0.32', '-1.58', '-0.57', '1.40', '-1.63', '-7.77', '-2.56', '-1.55']","['-20.08', '-32.96', '4.31', '--', '--']",[]
Mafatlal Ind,2,MAFATLAIND,500264,textilescompositemills,"['4.68', '9.99', '2.25', '2.50', '2.78', '5.94', '-1.58', '3.46', '9.38', '16.51']","[68.34532374100719, 68.18181818181817, 242.40506329113924, -27.74566473988439, -70.36247334754798, -64.02180496668686]","['365.02', '250.18', '281.05', '229.68', '226.22', '213.28', '191.58', '274.19', '218.21', '412.31']","[45.9029498760892, -10.983810709838108, 22.365900383141764, 1.5294845725400088, 6.06714178544636, 11.326860841423942, -30.12874284255443, 25.654186334265148, -47.076229050956805]","[0.01783463919785217, 0.05555999680230234, 0.011136808397082368, 0.01515151515151515, 0.017107240739103528, 0.038728432108027004, -0.011431255872220481, 0.017542579962799516, 0.05985060263049356, 0.055686255487376005]","['6.51', '13.90', '3.13', '3.48', '3.87', '8.26', '-2.19', '4.81', '13.06', '22.96']","['17.52', '17.20', '26.71', '--', '--']","[1.8604651162790715, -35.60464245600899]"
Magnus Plastics,2,,530797,plastics,"['0.53', '-1.02', '0.49', '0.16', '-0.38', '-0.16', '0.17', '0.33', '-0.01', '-0.51']","[239.47368421052633, -537.5, 188.23529411764702, -51.515151515151516, -3700.0, 68.62745098039214]","['3.25', '3.37', '5.74', '4.02', '0.79', '1.55', '1.35', '1.66', '0.62', '0.54']","[-3.5608308605341277, -41.289198606271775, 42.786069651741315, 408.86075949367086, -49.03225806451613, 14.814814814814811, -18.674698795180714, 167.74193548387098, 14.814814814814806]","[0.08923076923076922, -0.16617210682492584, 0.047038327526132406, 0.02238805970149254, -0.26582278481012656, -0.058064516129032254, 0.06666666666666667, 0.012048192771084338, 0.0, -0.5185185185185185]","['0.29', '-0.56', '0.27', '0.09', '-0.21', '-0.09', '0.09', '0.02', '0.00', '-0.28']","['-0.60', '0.04', '-0.59', '-0.56', '--']",[]
Mahalaxmi Rub,2,,514450,rubber,"['0.15', '0.01', '0.17', '0.10', '0.04', '0.06', '0.08', '0.08', '0.04', '0.12']","[274.99999999999994, -83.33333333333333, 112.5, 25.000000000000007, 0.0, -50.0]","['41.42', '43.39', '39.34', '33.87', '27.66', '32.07', '38.09', '42.47', '36.37', '34.89']","[-4.540216639778748, 10.294865277071674, 16.149985237673476, 22.451193058568318, -13.751169317118803, -15.804673142557107, -10.313162232163869, 16.772064888644493, 4.241903124104319]","[0.03090294543698696, 0.0029960820465545056, 0.037366548042704624, 0.02716268083850015, 0.014099783080260305, 0.01746180230745245, 0.01864006300866369, 0.016011302095596893, 0.00962331591971405, 0.031527658354829464]","['1.28', '0.13', '1.47', '0.92', '0.39', '0.56', '0.71', '0.68', '0.35', '1.10']","['0.33', '0.26', '0.25', '0.27', '0.69']","[26.923076923076927, 4.0000000000000036, -7.407407407407414, -60.8695652173913]"
Mahanivesh,2,,530441,financeinvestments,"['0.09', '-0.12', '0.01', '--', '0.07', '-0.08', '0.01', '0.03', '0.03', '-0.30']","[28.57142857142855, -49.999999999999986, 0.0]","['12.55', '15.28', '12.57', '11.15', '11.09', '16.38', '11.05', '10.96', '10.64', '11.51']","[-17.86649214659685, 21.559268098647564, 12.73542600896861, 0.5410279531109152, -32.295482295482294, 48.235294117647044, 0.8211678832116774, 3.0075187969924837, -7.55864465682015]","[0.007171314741035856, -0.007853403141361256, 0.0007955449482895784, 0.0, 0.006311992786293959, -0.004884004884004884, 0.0009049773755656108, 0.0027372262773722625, 0.002819548872180451, -0.026064291920069503]","['0.09', '-0.12', '0.01', '0.00', '0.07', '-0.08', '0.01', '0.03', '0.03', '-0.30']","['--', '--', '0.04', '0.09', '0.09']",[]
Mahaveer Info,2,,590117,computerssoftware,"['0.25', '0.01', '0.28', '0.02', '0.01', '0.05', '0.19', '0.15', '0.13', '0.08']","[2400.0, -80.0, 47.36842105263159, -86.66666666666667, -92.3076923076923, -37.5]","['11.25', '16.02', '13.18', '9.87', '15.33', '15.84', '17.90', '17.76', '17.35', '13.90']","[-29.775280898876407, 21.547799696509863, 33.535967578520776, -35.61643835616439, -3.2196969696969684, -11.50837988826815, 0.7882882882882714, 2.3631123919308363, 24.820143884892094]","[0.012444444444444445, 0.0024968789013732834, 0.00834597875569044, 0.008105369807497468, 0.004566210045662101, 0.001893939393939394, 0.005586592178770951, 0.0045045045045045045, 0.004034582132564841, 0.0035971223021582736]","['0.14', '0.04', '0.11', '0.08', '0.07', '0.03', '0.10', '0.08', '0.07', '0.05']","['0.03', '0.35', '0.29', '0.40', '--']","[-91.42857142857143, 20.689655172413794, -27.500000000000007]"
Mahindra Ugine,2,MAHINDUGIN,504823,steelmediumsmall,"['2.49', '2.65', '-0.92', '4.38', '0.54', '1.13', '-0.07', '0.66', '0.62', '-1.10']","[361.11111111111114, 134.5132743362832, -1214.2857142857142, 563.6363636363636, -12.903225806451607, 202.7272727272727]","['150.43', '150.36', '157.16', '161.68', '139.19', '153.50', '155.13', '173.05', '184.93', '355.49']","[0.0465549348230867, -4.3268007126495185, -2.7956457199406297, 16.157769954738136, -9.322475570032575, -1.0507316444272516, -10.355388616006943, -6.424052344130208, -47.97884609974964]","[0.05417802300073124, 0.05752859803139133, -0.021824891829982186, 1.1410192973775357, 0.024642574897621956, 0.023843648208469057, 0.002771868755237543, 0.012308581334874313, 0.011950467744551992, -0.1082449576640693]","['8.15', '8.65', '-3.43', '184.48', '3.43', '3.66', '0.43', '2.13', '2.21', '-38.48']","['4.84', '0.10', '11.36', '-1.84', '--']","[4740.0, -99.11971830985917, 717.391304347826]"
Mangalam Ind,2,,537800,financegeneral,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '-0.01']",[],"['0.12', '0.07', '0.04', '0.05', '0.05', '0.05', '0.05', '0.03', '0.01', '0.01']","[71.4285714285714, 75.00000000000001, -20.000000000000004, 0.0, 0.0, 0.0, 66.66666666666669, 199.99999999999994, 0.0]","[0.5, 0.5714285714285714, 0.5, 0.39999999999999997, 0.19999999999999998, 0.39999999999999997, 0.0, 0.0, -1.0, -5.0]","['0.06', '0.04', '0.02', '0.02', '0.01', '0.02', '0.00', '0.00', '-0.01', '-0.05']","['0.01', '--', '0.01', '--', '-0.01']",[]
Mapro Ind,2,,509762,chemicals,"['0.22', '0.05', '0.03', '0.01', '-0.04', '0.05', '0.10', '-0.22', '-0.09', '0.07']",[],"['2.29', '7.95', '3.68', '2.26', '0.78', '0.87', '0.71', '--', '0.00', '0.24']","[-71.19496855345912, 116.03260869565216, 62.831858407079665, 189.74358974358972, -10.344827586206893, 22.53521126760564]","[0.08296943231441048, 0.005031446540880503, 0.008152173913043478, 0.004424778761061948, -0.03846153846153846, 0.034482758620689655, 0.09859154929577466]","['0.19', '0.04', '0.03', '0.01', '-0.03', '0.03', '0.07', '-0.02', '-0.01', '0.01']","['0.13', '0.07', '-0.02', '--', '3.79']","[85.7142857142857, 450.0]"
Marico,2,MARICO,531642,personalcare,"['2.92', '2.18', '2.04', '1.99', '2.24', '2.75', '2.20', '1.86', '2.14', '1.72']","[30.357142857142843, -20.727272727272723, -7.272727272727278, 6.989247311827951, 4.672897196261686, 59.88372093023256]","['1467.06', '988.81', '1189.57', '1142.54', '1348.65', '850.27', '928.23', '840.90', '1055.39', '731.33']","[48.366217979187105, -16.87668653378952, 4.116267264165804, -15.28269009750492, 58.61432250932058, -8.398780474666843, 10.385301462718521, -20.32329281118829, 44.31104973131145]","[0.12834512562540046, 0.14231247661330287, 0.1108467765663223, 0.11220613720307385, 0.10706261817372927, 0.20831030143366225, 0.15275308921280284, 0.14296586990129623, 0.13082367655558608, 0.1512449920008751]","['188.29', '140.72', '131.86', '128.20', '144.39', '177.12', '141.79', '120.22', '138.07', '110.61']","['8.45', '8.95', '6.69', '5.48', '5.15']","[-5.5865921787709505, 33.781763826606856, 22.080291970802918, 6.407766990291264]"
Marksans Pharma,2,MARKSANS,524404,pharmaceuticals,"['0.58', '0.30', '0.43', '0.52', '0.47', '0.14', '0.41', '0.46', '0.44', '0.96']","[23.404255319148934, 114.28571428571426, 4.878048780487809, 13.043478260869565, 6.818181818181812, -85.41666666666666]","['102.32', '91.74', '105.64', '107.55', '100.67', '83.67', '80.74', '78.51', '72.02', '58.67']","[11.532592108131675, -13.15789473684211, -1.775918177591815, 6.834210787722256, 20.317915620891597, 3.62893237552639, 2.8404024964972483, 9.011385726187184, 22.754388955172992]","[0.23338545738858485, 0.13418356224111622, 0.1563801590306702, 0.18614597861459786, 0.18138472236018677, 0.0632245727261862, 0.1942036165469408, 0.22672271048274104, 0.23312968619827826, 0.6308164308846088]","['23.88', '12.31', '16.52', '20.02', '18.26', '5.29', '15.68', '17.80', '16.79', '37.01']","['1.64', '1.44', '1.03', '-4.92', '-3.74']","[13.888888888888888, 39.80582524271844, 120.93495934959351, -31.550802139037426]"
Maruti Suzuki,2,MARUTI,532500,autocarsjeeps,"['39.49', '42.51', '26.55', '28.55', '25.23', '26.48', '22.55', '22.19', '20.91', '41.04']","[56.5200158541419, 60.53625377643503, 17.738359201773836, 28.661559260928342, 20.65997130559541, -35.4775828460039]","['13078.32', '13272.55', '12263.14', '11996.33', '11073.51', '11818.13', '10619.68', '10211.83', '9995.12', '13056.26']","[-1.46339625768974, 8.231252354617169, 2.2240968696259564, 8.333581673742108, -6.300658395194494, 11.285179967757964, 3.993897274043931, 2.1681580611338243, -23.44576471363162]","[0.09121355036426698, 0.09675910054963063, 0.06541228429260369, 0.0719003228487379, 0.06883815520101576, 0.06769683528612394, 0.06414035074503187, 0.06563270246371121, 0.06319183761675698, 0.09494449405878864]","['1192.92', '1284.24', '802.16', '862.54', '762.28', '800.05', '681.15', '670.23', '631.61', '1239.62']","['122.85', '92.13', '79.19', '56.60', '79.22']","[33.34418756105503, 16.340447026139664, 39.91166077738515, -28.5533956071699]"
Matru-Smriti,2,,512165,miscellaneous,"['1.43', '7.95', '0.02', '-0.05', '-0.24', '-0.11', '-0.05', '0.24', '0.19', '1.99']","[695.8333333333333, 7327.272727272728, 140.0, -120.83333333333333, -226.3157894736842, -105.52763819095479]","['--', '--', '--', '--', '--', '--', '--', '--', '--', '0.27']",[-1],[],"['0.08', '0.43', '0.00', '0.00', '-0.01', '-0.01', '0.00', '0.01', '0.01', '0.08']","['7.57', '0.14', '-1.13', '-3.71', '0.14']","[5307.142857142857, 112.38938053097347, 69.54177897574124, -2749.9999999999995]"
Mauria Udyog,2,,539219,miscellaneous,"['2.53', '0.80', '3.14', '2.33', '1.45', '1.35', '--', '2.52', '1.87', '2.79']","[74.48275862068965, -40.74074074074075]","['231.27', '304.84', '302.87', '238.15', '162.05', '209.19', '149.66', '190.49', '218.90', '226.51']","[-24.13397191969557, 0.6504440849209134, 27.176149485618307, 46.96081456340635, -22.534537979826947, 39.776827475611384, -21.434196020788498, -12.97852900867976, -3.3596750695333473]","[0.014571712716738012, 0.0035100380527489836, 0.01380130088816984, 0.013017006088599622, 0.011909904350509102, 0.00860461781155887, 0.012762261125217158, 0.017586224998687595, 0.011420740063956145, 0.015849189881241448]","['3.37', '1.07', '4.18', '3.10', '1.93', '1.80', '1.91', '3.35', '2.50', '3.59']","['--', '7.18', '9.17', '20.62', '17.71']",[]
Maxwell Ind,2,MAXWELL,532613,textilesreadymadeapparels,"['0.13', '0.24', '0.35', '--', '--', '0.07', '0.16', '0.29', '0.49', '--']",[],"['57.80', '63.86', '62.33', '66.94', '66.05', '59.83', '60.06', '67.51', '67.34', '48.39']","[-9.489508299404951, 2.454676720680252, -6.88676426650732, 1.347464042392128, 10.396122346648836, -0.3829503829503895, -11.035402162642576, 0.25245025245025493, 39.16098367431288]","[0.15069204152249138, 0.024115252113999376, 0.03545644152093695, 0.016880788766059158, 0.032096896290688876, 0.0076884506100618425, 0.016816516816516816, 0.026662716634572654, 0.045738045738045734, -0.0028931597437487086]","['8.71', '1.54', '2.21', '1.13', '2.12', '0.46', '1.01', '1.80', '3.08', '-0.14']","['1.08', '0.84', '0.34', '0.63', '--']","[28.571428571428587, 147.05882352941174, -46.03174603174603]"
Mefcom Capital,2,,531176,financegeneral,"['0.11', '0.58', '-0.08', '0.23', '-0.06', '0.10', '-0.10', '0.08', '0.01', '-0.39']","[283.3333333333333, 480.0, 20.000000000000004, 187.50000000000003, -699.9999999999999, 125.64102564102564]","['0.50', '0.46', '0.73', '0.34', '0.38', '0.22', '0.26', '0.17', '0.30', '1.02']","[8.69565217391304, -36.986301369863014, 114.70588235294115, -10.52631578947368, 72.72727272727273, -15.384615384615389, 52.941176470588225, -43.33333333333333, -70.58823529411764]","[0.2, 1.1521739130434783, -0.10958904109589042, 0.6470588235294117, -0.15789473684210525, 0.40909090909090906, -0.3076923076923077, 0.411764705882353, 0.03333333333333333, -0.3529411764705882]","['0.10', '0.53', '-0.08', '0.22', '-0.06', '0.09', '-0.08', '0.07', '0.01', '-0.36']","['0.67', '0.09', '-0.13', '-0.75', '-1.10']","[644.4444444444446, 169.23076923076923, 82.66666666666667, 31.818181818181824]"
Meghmani Organi,2,MEGH,532865,pesticidesagrochemicals,"['0.25', '0.06', '0.17', '0.78', '0.02', '-0.39', '0.31', '0.37', '-0.07', '0.13']","[1150.0, 115.38461538461537]","['243.52', '201.82', '223.78', '275.82', '220.47', '221.42', '237.79', '194.72', '192.27', '174.27']","[20.66197601823408, -9.813209402091342, -18.867377275034443, 25.105456524697235, -0.4290488664077268, -6.884225577189959, 22.11894001643385, 1.2742497529515724, 10.328800137717336]","[0.025911629434954005, 0.007234169061539986, 0.019617481455000446, 0.07218475817562178, 0.0020864516714292195, -0.04660825580345046, 0.03301232179654317, 0.047709531635168445, -0.01440682373745254, 0.019165662477764387]","['6.31', '1.46', '4.39', '19.91', '0.46', '-10.32', '7.85', '9.29', '-2.77', '3.34']","['1.03', '0.47', '0.26', '0.65', '1.87']","[119.14893617021278, 80.76923076923075, -60.0, -65.24064171122996]"
Melstar Info,2,MELSTAR,532307,computerssoftwaremediumsmall,"['0.05', '-0.21', '0.19', '-0.90', '-0.23', '-0.35', '-1.06', '-0.03', '-0.24', '-0.18']","[121.73913043478262, 40.0, 117.92452830188678, -2900.0, 4.166666666666659, -94.44444444444444]","['6.98', '6.68', '5.56', '5.32', '4.81', '4.48', '4.20', '4.52', '5.02', '4.79']","[4.491017964071867, 20.143884892086334, 4.511278195488709, 10.602910602910617, 7.366071428571409, 6.666666666666672, -7.079646017699102, -9.9601593625498, 4.801670146137777]","[0.01002865329512894, -0.04491017964071856, 0.04496402877697842, -0.24060150375939848, -0.06652806652806653, -0.11160714285714285, -0.3619047619047619, -0.011061946902654869, -0.06972111553784861, -0.05219206680584551]","['0.07', '-0.30', '0.25', '-1.28', '-0.32', '-0.50', '-1.52', '-0.05', '-0.35', '-0.25']","['-1.16', '-1.68', '-1.01', '1.02', '1.02']",[]
Menon Bearings,2,MENONBE,523828,bearings,"['0.64', '3.80', '2.86', '3.30', '2.40', '2.30', '1.69', '1.53', '0.94', '0.32']","[-73.33333333333333, 65.21739130434783, 69.23076923076923, 115.68627450980391, 155.31914893617022, 618.7499999999999]","['26.66', '26.16', '24.87', '27.58', '23.92', '24.12', '19.72', '21.62', '21.00', '20.20']","[1.91131498470948, 5.186972255729792, -9.825960841189259, 15.30100334448159, -0.8291873963515726, 22.31237322515214, -8.788159111933403, 2.952380952380957, 3.960396039603964]","[0.11290322580645161, 0.13570336391437307, 0.10735826296743063, 0.11167512690355332, 0.09364548494983278, 0.08913764510779436, 0.07961460446247465, 0.06614246068455133, 0.0419047619047619, 0.01485148514851485]","['3.01', '3.55', '2.67', '3.08', '2.24', '2.15', '1.57', '1.43', '0.88', '0.30']","['12.36', '6.61', '3.96', '7.93', '6.83']","[86.98940998487139, 66.91919191919193, -50.06305170239597, 16.105417276720345]"
Menon Pistons,2,,531727,autoancillaries,"['3.89', '2.20', '2.17', '4.70', '2.14', '0.86', '1.06', '1.06', '0.60', '0.10']","[81.77570093457943, 155.81395348837214, 104.71698113207546, 343.39622641509436, 256.6666666666667, 760.0]","['37.41', '37.28', '34.46', '40.02', '32.59', '35.65', '32.95', '39.03', '34.39', '34.46']","[0.3487124463519191, 8.183401044689495, -13.893053473263372, 22.798404418533288, -8.583450210378668, 8.194233687405147, -15.577760696899814, 13.49229427159058, -0.20313406848520105]","[0.0529270248596632, 0.030042918454935626, 0.03221125943122461, 0.05997001499250374, 0.033445842282908866, 0.012342215988779805, 0.01638846737481032, 0.013835511145272868, 0.008723466123873218, 0.0014509576320371445]","['1.98', '1.12', '1.11', '2.40', '1.09', '0.44', '0.54', '0.54', '0.30', '0.05']","['11.21', '3.58', '--', '19.64', '17.20']",[213.12849162011176]
Mercury Labs,2,,538964,pharmaceuticals,"['8.47', '1.30', '6.05', '8.58', '6.91', '5.07', '7.25', '9.11', '6.80', '--']","[22.57597684515196, -74.35897435897436, -16.551724137931036, -5.817782656421508, 1.617647058823534]","['12.90', '8.69', '9.65', '12.36', '10.75', '10.63', '9.89', '10.93', '9.92', '7.62']","[48.44649021864213, -9.948186528497418, -21.925566343042068, 14.976744186046506, 1.1288805268109052, 7.482305358948435, -9.515096065873735, 10.181451612903224, 30.183727034120732]","[0.07906976744186046, 0.018411967779056387, 0.07564766839378238, 0.08333333333333334, 0.07720930232558139, 0.057384760112888046, 0.08796764408493427, 0.09972552607502289, 0.08266129032258064, 0.06036745406824147]","['1.02', '0.16', '0.73', '1.03', '0.83', '0.61', '0.87', '1.09', '0.82', '0.46']","['23.68', '27.84', '21.17', '16.33', '17.07']","[-14.942528735632186, 31.50684931506848, 29.63870177587265, -4.335090802577633]"
MIC Electronics,2,MIC,532850,telecommunicationsequipment,"['0.63', '1.17', '-0.38', '-0.47', '-0.29', '-1.73', '-3.11', '--', '-1.45', '-0.03']","[317.2413793103448, 167.6300578034682, 87.78135048231512]","['47.33', '44.38', '39.63', '35.72', '36.19', '30.91', '30.38', '25.71', '29.41', '20.68']","[6.6471383506083725, 11.985869290941205, 10.946248600223974, -1.2987012987012956, 17.08185053380782, 1.7445687952600435, 18.164138467522356, -12.580754845290715, 42.214700193423596]","[0.159306993450243, 0.31275349256421814, -0.09765329295987887, -0.13577827547592386, -0.08179054987565626, -0.5752183759301197, -1.0503620803159974, 0.0019447685725398679, -0.5039102346140768, -0.01353965183752418]","['7.54', '13.88', '-3.87', '-4.85', '-2.96', '-17.78', '-31.91', '0.05', '-14.82', '-0.28']","['0.18', '3.91', '5.17', '--', '--']","[-95.39641943734016, -24.371373307543518]"
Mideast Portfol,2,,526251,financegeneral,"['0.04', '0.58', '-0.14', '-0.16', '0.02', '1.39', '-0.24', '-0.33', '-0.20', '-0.21']","[100.0, -58.27338129496403]","['0.08', '--', '--', '--', '--', '--', '0.00', '0.00', '0.00', '0.01']",[-1],[0.125],"['0.01', '0.17', '-0.04', '-0.05', '0.01', '0.42', '-0.07', '-0.10', '-0.06', '-0.06']","['0.30', '0.01', '-0.64', '-0.89', '-0.92']","[2899.9999999999995, 101.5625, 28.08988764044944, 3.260869565217394]"
