Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
Ad Manum Fin,1,,511359,financeleasinghirepurchase,"['0.27', '-0.17', '0.43', '0.59', '0.57', '2.89', '3.11', '--', '3.14', '3.90']",[],"['3.66', '4.68', '4.32', '4.31', '5.84', '7.14', '7.57', '7.89', '8.17', '9.18']","[-21.79487179487179, 8.33333333333332, 0.2320185614849345, -26.198630136986306, -18.207282913165265, -5.680317040951131, -4.055766793409372, -3.427172582619342, -11.002178649237472]","[0.0546448087431694, -0.02777777777777778, 0.07407407407407407, 0.10440835266821347, 0.07363013698630137, 0.303921568627451, 0.30779392338177014, 0.14575411913814956, 0.28886168910648713, 0.31917211328976036]","['0.20', '-0.13', '0.32', '0.45', '0.43', '2.17', '2.33', '1.15', '2.36', '2.93']","['1.29', '6.80', '11.02', '7.42', '8.95']","[-81.02941176470588, -38.294010889292196, 48.51752021563342, -17.094972067039098]"
Adam Comsof,1,,526177,computerssoftwaremediumsmall,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[],"['4.93', '5.19', '15.94', '3.91', '4.21', '4.51', '3.12', '3.27', '10.60', '9.32']","[-5.009633911368027, -67.44040150564618, 307.6726342710997, -7.125890736342039, -6.651884700665185, 44.55128205128204, -4.58715596330275, -69.15094339622641, 13.733905579399133]","[0.0973630831643002, 0.07129094412331406, 0.2954830614805521, 0.34782608695652173, 0.09738717339667458, 0.031042128603104218, 0.11858974358974358, 0.11009174311926605, 0.18867924528301888, 0.17489270386266093]","['0.48', '0.37', '4.71', '1.36', '0.41', '0.14', '0.37', '0.36', '2.00', '1.63']","['--', '--', '--', '--', '--']",[]
Adani Enterpris,1,ADANIENT,512599,trading,"['0.63', '0.66', '1.93', '0.01', '0.93', '-0.39', '-0.93', '-1.24', '-0.67', '0.27']","[6200.0, -29.03225806451613, 307.5268817204301, 100.80645161290323, 238.8059701492537, -244.44444444444443]","['2396.57', '3310.67', '3322.71', '4053.94', '2692.19', '3041.55', '3189.63', '2776.17', '3418.70', '3301.06']","[-27.610725321460606, -0.36235482482672166, -18.037514122063968, 50.5814968482908, -11.486248787624733, -4.642544746569349, 14.893180172683952, -18.794571035773824, 3.5637037799979363]","[0.029129130382171187, 0.021989506655752458, 0.06388760981247235, 0.00025407381460998434, 0.03796537391491685, -0.014052045831894922, -0.03205700974721206, -0.04895233361069387, -0.021531576330183988, 0.009042549968797902]","['69.81', '72.80', '212.28', '1.03', '102.21', '-42.74', '-102.25', '-135.90', '-73.61', '29.85']","['3.70', '-1.62', '4.73', '3.29', '2.53']","[328.39506172839504, -134.24947145877377, 43.768996960486334, 30.039525691699616]"
Adani Ports,1,ADANIPORTS,532921,infrastructuregeneral,"['2.99', '2.68', '2.87', '2.56', '2.44', '2.55', '2.30', '1.68', '3.28', '2.45']","[22.54098360655739, 5.098039215686288, 24.78260869565219, 52.380952380952394, -25.60975609756097, 4.0816326530612095]","['1043.39', '933.62', '922.82', '849.50', '854.01', '801.08', '801.84', '794.10', '1638.78', '771.51']","[11.757460208650212, 1.17032574066448, 8.630959387875228, -0.5280968606924966, 6.607330104359109, -0.09478200139678625, 0.9746883264072547, -51.54322117672903, 112.4120231753315]","[0.5933256021238463, 0.5938925901330306, 0.6438958843544786, 0.6231547969393761, 0.5914450650460767, 0.6595471113996105, 0.5949441285044398, 0.4377534315577383, 0.4046607842419361, 0.636116187735739]","['619.07', '554.47', '594.20', '529.37', '505.10', '528.35', '477.05', '347.62', '663.15', '490.77']","['10.55', '9.80', '8.76', '5.88', '4.92']","[7.653061224489795, 11.87214611872147, 48.97959183673469, 19.51219512195122]"
Adani Power,1,ADANIPOWER,533096,powergenerationdistribution,"['-0.47', '1.46', '0.19', '-1.50', '-0.63', '9.92', '-1.48', '-3.17', '-3.57', '-1.78']",[],"['3054.27', '2490.32', '3043.53', '2406.51', '2999.38', '4379.93', '2499.62', '2014.44', '2107.81', '1745.66']","[22.645684088791793, -18.176590997953035, 26.470698231048278, -19.76641839313458, -31.519910135550113, 75.22383402277148, 24.08510553801552, -4.42971615088646, 20.745735137426525]","[-0.044239703758999695, 0.16793424138263355, 0.017663699717104808, -0.17930114564244484, -0.059919049936986976, 0.650695330747295, -0.1705299205479233, -0.4516143444331923, -0.4358599684032242, -0.24436029925644168]","['-135.12', '418.21', '53.76', '-431.49', '-179.72', '2850.00', '-426.26', '-909.75', '-918.71', '-426.57']","['-0.24', '2.13', '-8.16', '-1.35', '2.40']",[]
Adarsh Chemical,1,ADARSHCHEM,506225,fertilisers,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[],"['--', '--', '--', '--', '--', '--', '--', '--', '--', '0.06']",[-1],[],"['-0.61', '-0.63', '1.03', '-1.21', '-1.21', '-1.27', '-1.28', '-1.28', '-1.27', '-1.39']","['--', '--', '--', '--', '--']",[]
Adarsh Mercant,1,,538563,miscellaneous,"['0.04', '-0.15', '0.64', '-0.56', '0.24', '--']",[],"['--', '0.57', '0.65', '0.04', '0.06', '0.14']",[-1],[],"['0.02', '-0.06', '0.23', '-0.21', '0.09', '-0.02']","['0.03', '0.08', '0.01', '0.11', '0.11']","[-62.5, 700.0000000000001, -90.90909090909092, 0.0]"
Adarsh Plant,1,,526711,pumps,"['-0.06', '-0.12', '-0.20', '-0.23', '-0.20', '0.13', '-0.29', '0.21', '-0.47', '0.08']",[],"['2.37', '2.34', '2.27', '1.98', '2.28', '2.26', '1.77', '3.07', '0.74', '-0.06']","[1.2820512820512928, 3.0837004405286272, 14.646464646464649, -13.157894736842099, 0.8849557522123902, 27.683615819209027, -42.34527687296416, 314.86486486486484, -1333.3333333333335]","[-0.02531645569620253, -0.047008547008547015, -0.0881057268722467, -0.11111111111111112, -0.08771929824561404, 0.057522123893805316, -0.1638418079096045, 0.06840390879478828, -0.6216216216216216, -1.3333333333333335]","['-0.06', '-0.11', '-0.20', '-0.22', '-0.20', '0.13', '-0.29', '0.21', '-0.46', '0.08']","['-0.73', '-0.42', '-0.15', '-0.64', '-1.07']",[]
ADC India Comm,1,KRONECOMM,523411,telecommunicationsequipment,"['1.12', '3.19', '3.18', '2.95', '1.48', '3.15', '1.89', '1.19', '0.97', '-1.34']","[-24.324324324324316, 1.269841269841271, 68.25396825396827, 147.8991596638656, 52.57731958762887, 335.07462686567163]","['12.16', '13.34', '16.10', '14.34', '12.74', '12.86', '13.14', '11.58', '10.20', '10.66']","[-8.845577211394302, -17.142857142857153, 12.273361227336133, 12.558869701726842, -0.9331259720062148, -2.130898021308989, 13.471502590673579, 13.52941176470589, -4.315196998123835]","[0.04276315789473684, 0.11019490254872563, 0.09068322981366458, 0.09483960948396096, 0.05337519623233909, 0.11275272161741835, 0.06621004566210045, 0.04749568221070812, 0.04411764705882353, -0.05816135084427767]","['0.52', '1.47', '1.46', '1.36', '0.68', '1.45', '0.87', '0.55', '0.45', '-0.62']","['10.82', '7.21', '-13.17', '4.54', '4.61']","[50.069348127600556, 154.74563401670463, -390.08810572687224, -1.5184381778741924]"
Add-Life Pharma,1,,524665,pharmaceuticals,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[],"['0.31', '0.13', '0.20', '0.40', '0.39', '0.50', '0.43', '0.37', '0.34', '--']","[138.46153846153845, -35.0, -50.0, 2.5641025641025665, -21.999999999999996, 16.27906976744186, 16.216216216216218, 8.823529411764696]","[0.0, 0.0, 0.049999999999999996, -0.049999999999999996, -0.05128205128205128, 0.2, -0.16279069767441862, -0.05405405405405406, -0.14705882352941177]","['0.00', '0.00', '0.01', '-0.02', '-0.02', '0.10', '-0.07', '-0.02', '-0.05', '-0.07']","['--', '--', '--', '--', '--']",[]
