symbol,low,high,curr
"['Swan Mills Ltd', '', '503310']",51.5,70.0,60.05
"['Swaraj Engines Ltd', 'SWARAJENG', '500407']",742.0,1072.95,881.5
"['Synthiko Foils Ltd', '', '513307']",16.8,48.45,47.45
"['THEBYKE', 'THEBYKE', '']",147.25,181.5,163.65
"['T & I Global Ltd', '', '522294']",11.2,20.42,20.4
"['T Spiritual World Ltd', '', '532444']",0.48,1.03,0.85
"['TAI Industries Ltd', '', '519483']",11.05,19.75,17.0
"['Tamboli Capital Ltd', '', '533170']",26.0,69.9,60.0
"['Tamil Nadu Newsprint & Papers Ltd', 'TNPL', '531426']",117.0,221.4,191.8
"['Tamilnadu Petroproducts Ltd', 'TNPETRO', '500777']",10.75,27.9,22.55
"['TANFAC Industries Ltd', 'TANFACIND', '506854']",11.5,47.2,39.0
"['Tanla Solutions Ltd', 'TANLA', '532790']",12.0,33.85,27.8
"['Taparia Tools Ltd', '', '505685']",50.6,53.1,53.1
"['Tata Coffee Ltd', 'TATACOFFEE', '532301']",84.25,107.4,89.7
"['Tata Consultancy Services Ltd', 'TCS', '532540']",2345.0,2839.7,2570.85
"['Tata Elxsi Ltd', 'TATAELXSI', '500408']",500.0,2317.4,1864.95
"['Tata Investment Corporation Ltd', 'TATAINVEST', '501301']",501.1,652.3,524.7
"['TCM Ltd', '', '524156']",21.0,92.4,78.1
"['Techno Electric & Engg Company Limited', 'TECHNO', '533281']",240.05,569.0,534.35
"['Thakral Services India Ltd', '', '509015']",9.11,15.66,13.92
"['Thambbi Modern Spinning Mills Ltd', '', '514484']",3.28,7.17,5.84
"['Themis Medicare Ltd', 'THEMISMED', '530199']",105.7,223.0,220.5
"['Thinksoft Global Services Ltd', 'THINKSOFT', '533121']",450.05,843.3,713.35
"['Thomas Cook India Ltd', 'THOMASCOOK', '500413']",130.05,256.0,209.45
"['Tide Water Oil India Ltd', 'TIDEWATER', '590005']",11777.0,19679.65,16222.0
"['Timken India Ltd', 'TIMKEN', '522113']",371.5,669.0,570.7
"['Tirupati Foam Ltd', '', '590035']",20.0,39.0,36.6
"['Tirupati Starch & Chemicals Ltd', '', '524582']",7.05,17.49,15.75
"['Todays Writing Products Ltd', 'TODAYS', '531830']",2.0,5.05,4.12
"['Tokyo Finance Ltd', '', '531644']",4.78,8.37,8.35
"['Torrent Gujarat Biotech Ltd', 'TORRENGUJ', '523856']",91.1,173.0,142.1
"['Torrent Pharmaceuticals Ltd', 'TORNTPHARM', '500420']",793.0,1674.75,1614.65
"['Torrent Power Ltd', 'TORNTPOWER', '532779']",130.05,191.9,155.4
"['Total Exports Ltd', '', '523878']",18.9,38.55,34.7
"['Transpek Finance Ltd', '', '531254']",5.81,15.04,13.0
"['Transport Corporation of India Ltd', 'TCI', '532349']",187.9,322.0,273.2
"['Trishakti Electronics & Industries Ltd', '', '531279']",7.56,9.97,8.16
"['TTK Prestige Ltd', 'TTKPRESTIG', '517506']",2980.0,4832.0,3883.75
"['Tube Investments of India Ltd', 'TUBEINVEST', '504973']",275.25,439.0,402.95
"['TV Today Network Ltd', 'TVTODAY', '532515']",165.0,262.0,217.8
"['Twinstar Software Exports Ltd', '', '531917']",0.72,1.95,1.83
"['Ultramarine & Pigments Ltd', 'ULTRMARINE', '506685']",60.0,91.25,73.9
"['Ultratech Cement Ltd', 'ULTRACEMCO', '532538']",2297.2,3398.0,2946.75
"['Uni Abex Alloy Products Ltd', '', '504605']",329.9,665.0,578.0
"['Unichem Laboratories Ltd', 'UNICHEMLAB', '506690']",173.0,284.3,268.1
"['Union Quality Plastics Ltd', '', '526799']",1.71,8.49,8.49
"['Uniply Industries Ltd', 'UNIPLY', '532646']",6.3,156.8,127.2
"['United Credit Ltd', '', '531091']",15.35,29.0,24.0
"['United Phosphorus Ltd', 'UNIPHOS', '512070']",299.45,576.4,521.75
"['United Spirits Ltd', 'MCDOWELL-N', '532432']",2225.0,4082.0,3286.2
"['Unjha Formulations Ltd', '', '531762']",2.87,10.57,9.38
"['UP Hotels Ltd', '', '509960']",261.0,356.9,297.7
"['Upasana Finance Ltd', '', '511764']",7.22,21.7,18.8
"['VIKASGLOB', 'VIKASGLOB', '']",5.62,16.8,13.7
"['VSSL', 'VSSL', '']",29.0,48.0,42.5
"['Vaghani Techno Build Ltd', '', '531676']",4.3,13.15,10.75
"['Valley Indiana Leisure Ltd', '', '531962']",11.57,23.3,19.5
"['Vardhman Holdings Ltd', 'VHL', '500439']",655.0,1198.4,1102.0
"['Vardhman Textiles Ltd', 'VTL', '502986']",398.0,989.0,891.9
"['Varun Shipping Company Ltd', 'VARUNSHIP', '500465']",3.7,11.5,9.85
"['VCCL Ltd', '', '522015']",2.76,3.33,3.02
"['Vidhi Dyestuffs Manufacturing Ltd', '', '531717']",7.2,53.3,44.7
"['Vijay Growth Financial Services Ltd', '', '511539']",1.1,2.41,2.08
"['Vijay Solvex Ltd', '', '531069']",65.1,122.0,103.6
"['Vikas Profin Ltd', '', '530961']",5.62,16.8,13.7
"['Vintage Securities Ltd', '', '531051']",8.05,13.15,11.69
"['Vinyoflex Ltd', '', '530401']",6.29,18.35,15.5
"['Virat Crane Industries Ltd', '', '519457']",7.0,45.35,39.5
"['Virat Industries Ltd', '', '530521']",40.55,74.8,61.15
"['Virtualsoft Systems Ltd', '', '531126']",4.38,5.82,5.24
"['Visaka Industries Ltd', 'VISAKAIND', '509055']",85.0,188.8,152.6
"['Vishal Cotspin Ltd', '', '531822']",149.9,184.9,163.0
"['Vishal Malleables Ltd', '', '505930']",8.41,24.3,24.3
"['Vision Corporation Ltd', '', '531668']",0.52,0.96,0.96
"['Visu International Ltd', 'VISUINTL', '590038']",0.35,1.3,1.3
"['Vivo Bio Tech Ltd', '', '511509']",16.55,19.55,19.55
"['VMF Softech Ltd', '', '519602']",14.07,87.0,72.75
"['Voltaire Leasing & Finance Ltd', '', '509038']",4.07,34.0,33.7
"['Kennametal India Ltd', 'WIDIA', '505890']",722.0,973.0,821.0
"['WABCO India Limited', 'WABCOINDIA', '533023']",3516.0,7450.0,6696.3
"['Wanbury Ltd', 'WANBURY', '524212']",24.6,83.2,66.65
"['Waterbase Ltd', 'WATERBASE', '523660']",44.0,119.9,100.1
"['Welspun India Ltd', 'WELSPUNIND', '514162']",214.0,963.0,770.65
"['Wendt India Ltd', 'WENDT', '505412']",1490.0,2429.95,1957.05
"['Whirlpool of India Ltd', 'WHIRLPOOL', '500238']",386.7,847.0,681.9
"['Wim Plast Ltd', 'WIMPLAST', '526586']",975.05,2499.0,2030.0
"['Winsome Textile Industries Ltd', '', '514470']",29.1,66.5,57.0
"['Wipro Ltd', 'WIPRO', '507685']",512.5,677.6,563.6
"['Wisec Global Ltd', '', '511642']",5.46,8.35,6.84
"['Zee Entertainment Enterprises Ltd', 'ZEEL', '505537']",272.55,421.7,387.8
"['Zenith Exports Ltd', 'ZENITHEXPO', '512553']",51.1,68.8,64.5
"['Zensar Technologies Ltd', 'ZENSARTECH', '504067']",440.0,1010.0,834.6
"['3M India Ltd', '3MINDIA', '523395']",5610.0,12565.0,11034.8
