symbol,low,high,curr
"['Himalchuli Food Products Ltd', '', '511169']",11.5,11.5,11.5
"['Himatsingka Seide Ltd', 'HIMATSEIDE', '514043']",74.05,215.8,181.9
"['Hindustan Foods Ltd', '', '519126']",32.4,135.3,109.3
"['Hindustan Media Ventures Ltd', 'HMVL', '533217']",152.0,260.0,213.35
"['Hindustan Petroleum Corporation Ltd', 'HINDPETRO', '500104']",450.15,990.95,829.1
"['Hindustan Unilever Ltd', 'HINDUNILVR', '500696']",707.15,981.0,854.5
"['Hitkari Fibres Ltd', '', '523222']",3.05,9.61,8.03
"['Honeywell Automation India Ltd', 'HONAUT', '517174']",5004.2,9500.0,8792.85
"['Housing Development Finance Corporation Ltd', 'HDFC', '500010']",975.0,1402.3,1201.9
"['Hulta Pharmaceutical Export Ltd', '', '531155']",6.74,9.82,8.4
"['Hyderabad Industries Ltd', 'HYDRBADIND', '509675']",550.0,849.8,688.1
"['Hydro S&S; Industries Ltd', 'HYDROS&S;', '524019']",89.2,335.0,287.0
"['IDBIGOLD', 'IDBIGOLD', '']",2333.05,2731.0,2440.0
"['IBULHSGFIN', 'IBULHSGFIN', '']",380.1,820.85,777.15
"['ICNX100', 'ICNX100', '']",68.0,109.4,90.0
"['INIFTY', 'INIFTY', '']",73.04,101.98,90.0
"['IGOLD', 'IGOLD', '']",2099.0,3000.0,2510.0
"['I S T Ltd', '', '508807']",315.55,598.0,550.0
"['IB Infotech Enterprises Ltd', '', '519463']",15.1,21.17,19.55
"['ICICI Prudential Gold ETF', 'IPGETF', '533244']",2099.0,3000.0,2510.0
"['Ind Agiv Commerce Ltd', '', '517077']",20.7,24.0,21.0
"['Ind Bank Housing Ltd', '', '523465']",5.46,10.51,8.47
"['India Infoline Ltd', 'INDIAINFO', '532636']",132.4,225.95,188.55
"['India Motor Parts & Accessories Ltd', 'IMPAL', '590065']",590.25,859.0,702.5
"['Indian Bright Steel Company Ltd', '', '504731']",33.0,34.65,34.65
"['Indian Card Clothing Company Ltd', 'INDIANCARD', '509692']",94.5,176.95,149.4
"['Indian Hume Pipe Company Ltd', 'INDIANHUME', '504741']",227.5,438.35,385.0
"['Indian Oil Corporation Ltd', 'IOC', '530965']",306.75,465.9,405.25
"['Indian Sucrose Ltd', 'OSWALSUG', '500319']",5.9,10.89,9.0
"['IndiaNivesh Ltd', '', '501700']",35.05,45.0,42.4
"['Indo Amines Ltd', '', '524648']",18.3,42.0,34.05
"['Indo Asian Finance Ltd', '', '530747']",3.13,9.71,8.08
"['Indo Asian Housing Corporation Ltd', '', '531674']",7.42,10.9,10.4
"['Indo Count Industries Ltd', 'ICIL', '521016']",129.8,1035.0,991.65
"['Indo Zinc Ltd', 'INDOZINC', '513428']",20.15,46.45,38.0
"['Indoco Remedies Ltd', 'INDOCO', '532612']",250.35,412.2,331.9
"['Indocount Finance Ltd', '', '500206']",4.1,19.65,16.35
"['Indraprastha Gas Ltd', 'IGL', '532514']",375.35,523.0,485.05
"['Indraprastha Medical Corporation Ltd', 'INDRAMEDCO', '532150']",43.65,75.75,61.25
"['Indusind Bank Ltd', 'INDUSINDBK', '532187']",578.1,989.3,847.65
"['Industrial & Prudential Investment Company Ltd', '', '501298']",1740.0,3018.0,2465.0
"['INEOS ABS (India) Ltd', 'INEABS', '506222']",550.0,943.9,761.25
"['Infosys Technologies Ltd', 'INFY', '500209']",888.89,1186.2,1111.05
"['Infotech Enterprises Ltd', 'INFOTECENT', '532175']",418.25,615.0,553.1
"['Infra Industries Ltd', '', '530777']",3.18,6.52,6.52
"['Inland Printers Ltd', '', '530787']",3.85,9.35,9.35
"['INOX Leisure Ltd', 'INOXLEISUR', '532706']",138.7,269.8,233.75
"['Insutech India Ltd', '', '531447']",4.71,5.81,4.99
"['Integrated Financial Services Ltd', '', '500212']",12.5,35.25,29.95
"['Integrated Hitech Ltd', '', '532303']",2.72,5.3,4.95
"['Integrated Proteins Ltd', '', '519606']",2.04,2.35,2.35
"['Inter State Finance Ltd', '', '526859']",0.15,0.35,0.32
"['Inter State Oil Carrier Ltd', '', '530259']",4.87,14.2,11.63
"['International Housing Finance Corporation Ltd', '', '530781']",6.47,11.48,10.85
"['Invicta Meditek Ltd', '', '523844']",2.95,5.51,4.6
"['Inwinex Pharmaceuticals Ltd', '', '531398']",10.0,23.37,21.5
"['Ipca Laboratories Ltd', 'IPCALAB', '524494']",592.1,887.0,782.45
"['IRB Infrastructure Developers Ltd', 'IRB', '532947']",197.1,289.65,238.35
"['Ivee Injectaa Ltd', '', '530057']",4.47,23.12,23.12
"['Benchmark Mutual Fund-Nifty Junior Benchmark ETF', 'JUNIORBEES', '']",163.65,218.4,203.55
"['J K Paper Ltd', 'JKPAPER', '532162']",28.8,46.8,39.25
"['J Kumar Infraprojects Ltd', 'JKIL', '532940']",298.5,844.0,802.7
"['Jagran Prakashan Ltd', 'JAGRAN', '532705']",107.25,154.85,134.1
"['Jagsonpal Finance & Leasing Ltd', '', '530601']",2.23,2.71,2.28
"['Jaihind Synthetics Ltd', '', '514312']",6.0,12.0,11.15
"['Jamshri Ranjitsinghji Spinning & Weaving Mills Company Ltd', '', '502901']",14.85,37.4,30.5
"['Jaybharat Textiles & Real Estate Ltd', '', '512233']",19.8,25.2,22.8
"['JB Chemicals & Pharmaceuticals Ltd', 'JBCHEPHARM', '506943']",179.5,297.4,265.55
"['JHS Svendgaard Laboratories Ltd', 'JHS', '532771']",6.1,13.55,12.35
"['Jindal Hotels Ltd', '', '507981']",24.6,38.0,33.7
"['Jindal Poly Films Ltd', 'JINDALPOLY', '500227']",163.95,446.0,365.9
"['JJ Exporters Ltd', '', '530049']",6.07,12.32,11.4
"['JJ Finance Corporation Ltd', '', '523062']",13.73,16.5,15.0
"['JK Cement Ltd', 'JKCEMENT', '532644']",465.35,756.0,627.35
"['JK Lakshmi Cement Ltd', 'JKLAKSHMI', '500380']",292.05,429.9,356.25
"['Joindre Capital Services Ltd', '', '531861']",8.18,12.98,10.7
"['JR Foods Ltd', '', '530915']",2.86,3.48,3.0
